"Heart Rate","RR","P Wave Duration","PR Segment","PR Interval","QRS Interval","T Wave Duration","ST Segment","QT Interval","QT Corrected (Bazett)",
"","","","","",80,164,68,312,"",
92.0245,652,72,48,120,72,168,72,312,386.394,
92.0245,652,76,44,120,76,172,68,316,391.348,
88.2353,680,76,44,120,76,172,68,316,383.206,
87.7193,684,84,44,128,76,172,68,316,382.084,
89.2857,672,80,44,124,72,172,72,316,385.481,
89.8204,668,80,44,124,76,172,68,316,386.633,
90.3614,664,80,48,128,76,176,64,316,387.796,
92.0245,652,76,48,124,76,172,68,316,391.348,
92.5926,648,76,44,120,76,168,72,316,392.554,
92.5926,648,80,44,124,76,172,68,316,392.554,
92.5926,648,80,44,124,76,176,68,320,397.523,
93.1677,644,80,44,124,76,176,68,320,398.756,
92.0245,652,76,48,124,76,172,68,316,391.348,
91.4634,656,72,48,120,76,168,68,312,385.215,
91.4634,656,80,44,124,76,168,72,316,390.153,
93.75,640,72,44,116,76,172,68,316,395,
92.0245,652,64,48,112,72,172,72,316,391.348,
91.4634,656,76,48,124,72,172,72,316,390.153,
92.0245,652,76,48,124,76,176,68,320,396.302,
91.4634,656,76,44,120,76,172,72,320,395.092,
91.4634,656,76,44,120,76,172,68,316,390.153,
91.4634,656,84,44,128,76,176,68,320,395.092,
92.0245,652,72,48,120,76,168,72,316,391.348,
93.1677,644,72,48,120,72,172,72,316,393.771,
93.1677,644,76,48,124,72,176,68,316,393.771,
92.5926,648,76,44,120,76,180,64,320,397.523,
92.0245,652,80,44,124,76,176,68,320,396.302,
90.9091,660,76,48,124,72,172,72,316,388.969,
91.4634,656,80,48,128,76,172,68,316,390.153,
90.9091,660,76,44,120,76,176,68,320,393.893,
92.0245,652,76,44,120,76,172,72,320,396.302,
90.9091,660,76,44,120,76,176,68,320,393.893,
90.3614,664,84,44,128,80,176,64,320,392.705,
90.9091,660,80,44,124,76,176,68,320,393.893,
90.9091,660,84,44,128,76,168,72,316,388.969,
92.0245,652,76,44,120,76,176,68,320,396.302,
90.9091,660,76,44,120,72,180,68,320,393.893,
92.0245,652,76,44,120,76,172,72,320,396.302,
90.9091,660,72,48,120,72,176,72,320,393.893,
92.0245,652,76,48,124,76,176,68,320,396.302,
91.4634,656,72,48,120,76,176,68,320,395.092,
91.4634,656,72,48,120,72,172,72,316,390.153,
92.0245,652,80,48,128,76,176,68,320,396.302,
92.5926,648,72,48,120,76,176,68,320,397.523,
91.4634,656,76,44,120,76,172,72,320,395.092,
87.7193,684,80,44,124,76,176,68,320,386.921,
88.7574,676,80,44,124,76,172,72,320,389.203,
88.7574,676,76,44,120,76,172,72,320,389.203,
88.2353,680,80,44,124,76,172,72,320,388.057,
88.7574,676,76,48,124,76,176,68,320,389.203,
90.3614,664,80,44,124,76,172,72,320,392.705,
90.9091,660,68,48,116,72,176,72,320,393.893,
91.4634,656,80,44,124,76,180,68,324,400.03,
89.2857,672,76,44,120,72,172,72,316,385.481,
89.8204,668,76,48,124,72,172,72,316,386.633,
89.2857,672,80,44,124,76,176,68,320,390.36,
89.2857,672,80,48,128,76,176,68,320,390.36,
89.2857,672,80,44,124,80,180,64,324,395.24,
89.2857,672,80,44,124,72,172,76,320,390.36,
91.4634,656,84,40,124,76,176,72,324,400.03,
90.9091,660,76,44,120,76,172,72,320,393.893,
90.9091,660,80,48,128,72,176,72,320,393.893,
92.0245,652,76,48,124,72,172,76,320,396.302,
93.1677,644,68,44,112,76,172,76,324,403.74,
92.5926,648,76,44,120,76,172,72,320,397.523,
92.5926,648,76,48,124,72,176,72,320,397.523,
92.5926,648,80,44,124,76,176,72,324,402.492,
92.0245,652,72,48,120,72,172,76,320,396.302,
91.4634,656,72,48,120,76,176,68,320,395.092,
90.9091,660,80,44,124,76,176,72,324,398.816,
91.4634,656,80,44,124,76,176,72,324,400.03,
