"ECG_P_Onsets","ECG_P_Offsets","ECG_R_Onsets","ECG_R_Offsets","ECG_T_Onsets","ECG_T_Offsets",
"","",56,136,204,368,
588,660,708,780,852,1020,
1240,1316,1360,1436,1504,1676,
1920,1996,2040,2116,2184,2356,
2596,2680,2724,2800,2868,3040,
3272,3352,3396,3468,3540,3712,
3940,4020,4064,4140,4208,4380,
4600,4680,4728,4804,4868,5044,
5256,5332,5380,5456,5524,5696,
5908,5984,6028,6104,6176,6344,
6552,6632,6676,6752,6820,6992,
7200,7280,7324,7400,7468,7644,
7844,7924,7968,8044,8112,8288,
8496,8572,8620,8696,8764,8936,
9156,9228,9276,9352,9420,9588,
9808,9888,9932,10008,10080,10248,
10456,10528,10572,10648,10716,10888,
11112,11176,11224,11296,11368,11540,
11756,11832,11880,11952,12024,12196,
12408,12484,12532,12608,12676,12852,
13068,13144,13188,13264,13336,13508,
13724,13800,13844,13920,13988,14160,
14372,14456,14500,14576,14644,14820,
15032,15104,15152,15228,15300,15468,
15676,15748,15796,15868,15940,16112,
16316,16392,16440,16512,16580,16756,
16968,17044,17088,17164,17228,17408,
17616,17696,17740,17816,17884,18060,
18276,18352,18400,18472,18544,18716,
18928,19008,19056,19132,19200,19372,
19596,19672,19716,19792,19860,20036,
20248,20324,20368,20444,20516,20688,
20908,20984,21028,21104,21172,21348,
21564,21648,21692,21772,21836,22012,
22228,22308,22352,22428,22496,22672,
22884,22968,23012,23088,23160,23328,
23544,23620,23664,23740,23808,23984,
24204,24280,24324,24396,24464,24644,
24856,24932,24976,25052,25124,25296,
25516,25588,25636,25708,25780,25956,
26164,26240,26288,26364,26432,26608,
26824,26896,26944,27020,27088,27264,
27480,27552,27600,27672,27744,27916,
28124,28204,28252,28328,28396,28572,
28780,28852,28900,28976,29044,29220,
29436,29512,29556,29632,29704,29876,
30116,30196,30240,30316,30384,30560,
30792,30872,30916,30992,31064,31236,
31472,31548,31592,31668,31740,31912,
32148,32228,32272,32348,32420,32592,
32824,32900,32948,33024,33092,33268,
33488,33568,33612,33688,33760,33932,
34156,34224,34272,34344,34416,34592,
34804,34884,34928,35004,35072,35252,
35480,35556,35600,35672,35744,35916,
36144,36220,36268,36340,36412,36584,
36816,36896,36940,37016,37084,37260,
37484,37564,37612,37688,37756,37932,
38160,38240,38284,38364,38428,38608,
38832,38912,38956,39028,39104,39276,
39488,39572,39612,39688,39760,39936,
40152,40228,40272,40348,40420,40592,
40804,40884,40932,41004,41076,41252,
41460,41536,41584,41656,41732,41904,
42116,42184,42228,42304,42380,42552,
42756,42832,42876,42952,43024,43196,
43400,43476,43524,43596,43668,43844,
44048,44128,44172,44248,44320,44496,
44704,44776,44824,44896,44972,45144,
45360,45432,45480,45556,45624,45800,
46016,46096,46140,46216,46288,46464,
46672,46752,46796,46872,46944,47120,
47324,47404,47448,47524,47592,47772,
47972,48052,48100,48176,48244,48424,
48632,48712,48756,48832,48904,49080,
49292,49364,49412,49488,49556,49732,
49928,50004,50052,50124,50200,50380,
50568,50640,50688,50760,50836,51008,
51192,51260,51308,51384,51460,51632,
51792,51864,51908,51984,52060,52232,
52396,52448,52500,52576,52656,52824,
52972,53052,53096,53172,53252,53416,
53576,53644,53692,53768,53852,54008,
54160,54224,54276,54348,54424,54592,
54736,54808,54852,54924,55000,55168,
55316,55380,55432,55500,55576,55744,
55884,55952,56000,56072,56152,56312,
56456,56520,56568,56640,56712,56880,
57008,57080,57124,57192,57272,57432,
57564,57632,57680,57748,57824,57988,
58116,58176,58232,58296,58372,58536,
58668,58728,58776,58844,58920,59080,
59208,59272,59316,59384,59460,59624,
